Episode,Total Fitness
0,1011
10,721
20,621
30,639
40,747
50,633
60,787
70,807
80,706
90,226
100,633
110,668
120,722
130,232
140,226
150,1389
160,746
170,1020
180,807
190,1021
200,790
210,1311
220,815
230,1267
240,616
250,232
260,616
270,994
280,234
290,227
300,250
310,1016
320,247
330,590
340,1289
350,746
360,1550
370,652
380,1036
390,1417
400,239
410,1046
420,243
430,243
440,715
450,1027
460,637
470,1055
480,239
490,1321
500,744
510,641
520,1318
530,599
540,1870
550,604
560,1042
570,606
580,243
590,805
600,1028
610,1425
620,1037
630,1320
640,1680
650,238
660,600
670,594
680,1320
690,1047
700,1333
710,1425
720,612
730,239
740,1039
750,600
760,597
770,1039
780,1897
790,241
800,1432
810,620
820,1045
830,608
840,1412
850,601
860,246
870,1420
880,605
890,645
900,1317
910,1030
920,594
930,1037
940,1034
950,1047
960,1036
970,1686
980,595
990,601
1000,1043
1010,1423
1020,1571
1030,607
1040,755
1050,1061
1060,1560
1070,1327
1080,1318
1090,606
1100,708
1110,626
1120,1836
1130,2062
1140,1334
1150,1914
1160,3009
1170,620
1180,1315
1190,1033
1200,599
1210,599
1220,1902
1230,1437
1240,1569
1250,3011
1260,1865
1270,617
1280,1909
1290,598
1300,606
1310,1341
1320,1051
1330,1868
1340,1916
1350,596
1360,1891
1370,3030
1380,1899
1390,1705
1400,1325
1410,646
1420,1916
1430,1912
1440,1039
1450,1897
1460,1684
1470,714
1480,613
1490,1331
1500,1036
1510,603
1520,604
1530,1060
1540,595
1550,1848
1560,1318
1570,245
1580,1330
1590,1916
1600,1330
1610,603
1620,1672
1630,1039
1640,1696
1650,1852
1660,608
1670,242
1680,1906
1690,1330
1700,616
1710,1853
1720,612
1730,1330
1740,1423
1750,647
1760,1051
1770,810
1780,229
1790,1689
1800,2337
1810,597
1820,3018
1830,1917
1840,600
1850,1044
1860,3041
1870,1324
